madde,anlam
marul,"Birleşikgillerden, geniş ve uzun olan yeşil yaprakları taze olarak yenilen bir bitki (Lactuca sativa)"
marulcu,Marul yetiştiren veya satan kimse
marulcuk,Çöpleme
Maruni,Lübnan ve Suriye'de oturan Katolik Süryani topluluğu
maruz kalmak,bir olay veya bir durumla karşı karşıya olmak
maruz bulunmak (veya olmak),bir olayın veya bir durumun etkisinde bulunmak
maruz bırakmak,bir olayın veya bir durumun etkisinde bırakmak
maruz,"Bir olayın, bir durumun etkisinde veya karşısında bulunan"
maruzat,"Mevki, makam veya yaş bakımından büyük birine sunulan, bildirilen dilek veya bilgi, sunuş"
marya,Beş yaşından büyük veya damızlık dışı bırakılmış dişi koyun
marya ağı,"Uzunluğu altmış, genişliği üç dört kulaç olan bir tür balık ağı"
mas,"Emme, emerek içine çekme, soğurma"
masa,Ayaklar veya bir destek üzerine oturtulmuş tabladan oluşan mobilya
masaya oturmak,"bir anlaşmazlığı çözümlemek üzere bir araya gelmek, toplanmak"
masaya yatırmak,"bir konuyu, olayı araştırmak veya irdelemek"
masabaşı,"Kuruluşlarda, büro benzeri yerlerde genellikle oturularak yapılan (iş, görev vb.)"
masaj,"Vücut yüzeyinde el, elektrik, su aracılığıyla çeşitli işlemler yapma biçiminde, iyileştirme ve bakım yöntemi"
masaj yapmak,"sağlık, bakım ve yarışmalara hazırlık amacıyla vücudun çeşitli bölgelerini özel araç ve yöntemlerle ovmak, ovuşturmak"
masajcı,"Sağlık veya tedavi amacıyla masaj yapan kimse, masör"
masajlama,Masajlamak işi
masajlamak,Masaj yapmak
masal,"Genellikle halkın yarattığı, hayale dayanan, sözlü gelenekte yaşayan, çoğunlukla insanlar, hayvanlar ile cadı, cin, dev, peri vb. varlıkların başından geçen olağanüstü olayları anlatan edebî tür"
masal gibi,olmayacak biçimde
masal okumak (veya anlatmak),"inandırıcı olmayan, oyalayıcı sözlerle kandırmaya çalışmak"
masal âleminde yaşamak,"gerçek olmayan, gerçekleşmesi güç olan şeyler düşünerek yaşamak"
masal âlemi,"Doğaüstü, gerçek dışı ancak masallarda rastlanabilecek yerler"
masalcı,"Masal anlatan, yazan veya okuyan kimse"
masallaştırmak,Masal durumuna getirmek
masa örtüsü,Masa üzerine serilen kumaş vb. maddeden yapılan örtü
masara,"Küçük, dar yer veya hücre"
masarif,"Giderler, masraflar"
masarika,Bağırsakları tutan karın iç zarı
masa saati,Masa üzerinde kullanılmak üzere yapılan saat
masat,"Bıçak bilemeye yarayan çelikten, çubuk biçiminde araç"
masa takvimi,Masa üzerinde kullanılmak amacıyla yapılmış bir takvim türü
masa tenisi,"Kuralları tenisinkine benzeyen, masa üzerinde özel top ve raketlerle oynanan bir oyun, masa topu, pinpon (II)"
masa topu,Masa tenisi
masaüstü yayıncılık,"Kitap, dergi vb. yayınları bilgisayar ortamında baskıya hazırlama işi"
masif,Som (I)
masiko,"Rengi kırmızı ile sarı arasında değişen, doğal kurşun oksit (PbO)"
mask,Genellikle ölünün yüzüne uygulanarak elde edilen yüz kalıbı
maskanyin,Doğal amonyum sülfat
maskara olmak,gülünç bir duruma düşmek
maskara etmek,bir kimseyi veya şeyi gülünç ve şerefsiz duruma düşürmek
maskarası olmak,birinin eğlencesi olmak
maskara,"Eğlendirici, sevimli, güldürücü, soytarı, hoş (kimse)"
maskarasını çıkarmak,"birini rezil etmek, küçük düşürerek gülünç duruma sokmak"
maskaraya almak,"biriyle eğlenmek, alay etmek"
maskaraya çevirmek,gülünç bir duruma sokmak
maskaraca,"Maskara gibi, maskaraya benzer bir biçimde"
maskaralanma,Maskaralanmak işi
maskaralanmak,Maskaralık etmek
maskaralaşma,Maskaralaşmak işi
maskaralaşmak,"Eğlendirici, hoş bir durum almak"
maskaralık,Soytarılık
maskarata,Ayakkabının üst yüzünün ön tarafında dikişle ayrılan burun bölümü
maskesi düşmek,gerçek niyeti ve niteliği ortaya çıkmak
maskesini atmak,"amaçlarını gizlemesini bilen kimse, bu tutumunu bırakarak gerçek kişiliğini ve amaçlarını açığa vurmak"
maskesini düşürmek (veya kaldırmak),"gizli amaçlarını, gerçek kişiliğini ortaya çıkarmak"
maske,"Boyalı karton, kumaş veya plastikten yapılan ve başkalarınca tanınmamak için yüze geçirilerek kullanılan yapma yüz"
maskeleme,Maskelemek işi
maskelemek,"Görünmemesini sağlamak, maske ile örtmek"
maskelenme,Maskelenmek işi
maskelenmek,Maskeleme işi yapılmak veya maskeleme işine konu olmak
maskeli,"Maskesi olan, maskelenmiş"
maskeli balo,Yüze maske takılarak gidilen balo
maskesiz,Maskesi olmayan
maskot,Uğur getireceğine inanılan şey
maslahat,"İş, önemli iş, mesele"
maslahatgüzar,"Bir büyükelçinin temsilci olarak bulunduğu ülke dışına çıkması durumunda veya o ülkeye gelmesinden önce ona vekâlet eden diplomat, işgüder"
maslahatgüzarlık,"Maslahatgüzar olma durumu, maslahatgüzarın mesleği"
maslak,Sürekli su akan boru
maslup,"Asılmış, asılarak öldürülmüş (kimse)"
masmavi,"Her yanı mavi, gömgök"
masnu,Sanatla yapılmış (ürün)
masnuat,"Sanatla yapılmış şeyler, sanat eserleri"
mason,"Masonluk üyesi, farmason"
mason locası,Çeşitli derecelerdeki masonlardan oluşan gruplardan her biri
masonluk,"Birtakım kardeşlik ilkelerini benimseyen, birbirlerini parola ve işaretlerle tanıyan, loca denilen bölümlere ayrılan kimselerden kurulu dernek"
masör,Erkek masajcı
masraf,"Harcanan para, gider"
masraf etmek,para harcamak
masraf görmek,alışveriş veya ödeme işlerini yapmak
masrafa girmek,bir iş veya yapım için çok para harcamak
masraftan çıkmak,"beklenmedik bir sırada para harcama durumunda kalmak, paradan çıkmak"
masrafı çekmek,"bir iş için gereken parayı ödemek, gideri karşılamak"
masraf kapısı açmak,para harcamayı gerektiren bir işe girişmek
masraf kapısı,Para harcamayı gerektiren bir iş
masraflı,"Çok masraf gerektiren, pahalıya çıkan"
masrafsız,"Masraf gerektirmeyen veya az masrafı olan, ucuza mal olan"
masruf,"Sarf edilmiş, harcanmış"
massetme,Massetmek işi
massetmek,"Emmek, içine çekmek"
mastar,"Fiilin -mak / -mek veya -ma / -me ekleri alan ve ad gibi kullanılan biçimi, eylemlik: al-mak, üşü-mek, bul-ma, gör-me,  vb"
mastar,"Sıvacı ve duvarcıların cetvel gibi kullandıkları uzun, ensiz ve düz tahta"
mastara,İletki
master,343 yüksek lisans
mastı,"Kulakları uzun ve düşük, bacakları kısa, bodur bir köpek cinsi"
mastı çiçeği,Öküzgözü(I)
mastika,Sakız rakısı
mastor,"Çok sarhoş, mastur"
mastor olmak,esrar içerek kendinden geçmek
mastur,Mastor
masturi,Geminin en geniş yeri
mastürbasyon,"Cinsel bölgelere dokunarak orgazm sağlama, istimna, onanizm"
masum,"Suçsuz, günahsız"
masumane,Masumca
masume,"Suçsuz, günahsız (kadın)"
masumiyet,Masumluk
masumluk,"Masum olma durumu, masumiyet"
masun,"Korunan, korunmuş"
masuniyet,Korunmuş olma durumu
masura,"Koni veya silindir biçiminde olup üzerine şerit, iplik vb. sarılan, karton, tahta, plastik vb.nden yapılan araç"
maş,Bir tür börülce (Phaseolus aureus)
maşa gibi,zayıf ve kuru (kimse)
maşa gibi kullanmak,maşası olmak
maşa kadar,çok küçük doğan (çocuk)
maşa varken elini yakmak,bir işten gelebilecek zarardan kendini koruyacak bir yol varken o yolu tutmamak
maşası olmak,sakıncalı bir işte biri tarafından araç olarak kullanılmak
maşa,"Ateş veya kızgın bir şey tutmaya, korları karıştırmaya yarayan iki kollu metal araç"
maşacı,Maşa yapan veya satan kimse
maşacılık,Maşacının işi veya mesleği
maşala,"Bağ ve bahçelerde kenarları set biçiminde birbirinden ayrılan, genellikle dikdörtgen toprak parçası"
maşalama,Maşalamak işi
maşalamak,Saçları maşa ile kıvırmak veya düzeltmek
maşalanmak,Maşa ile tutturulmak
maşalı,Maşası olan
maşalık,"Başkasının pek de hoş olmayan, sakıncalı isteklerine, amaçlarına alet olma durumu"
maşalık etmek,"başkalarının çıkarı, isteği ve amaçları doğrultusunda çalışmak"
maşallahı var,bir kimsenin veya bir şeyin iyi bir durumu anlatılırken söylenen bir söz
maşallah,"(ma:şalla:h) `Ne güzel, Allah nazardan saklasın` anlamlarında beğenme duyguları bildiren bir söz"
maşatlık,"Müslüman olmayanların, özellikle Yahudilerin mezarlığı"
maşer,"İnsan topluluğu, toplum"
maşerî,"Topluluğa ait olan, toplumu ilgilendiren"
maşlah,Tek parçalı ve kol yerine yarıkları olan bir tür kadın üstlüğü
maşrapa,"Metal, toprak, plastik vb.nden yapılmış, ağzı açık, kulplu, bardağa benzeyen, küçük kap"
maşrık,Doğu
maşuk,"Sevilen, âşık olunan erkek"
maşuka,"Sevilen, âşık olunan kadın"
mat olmak,satranç oyununda yenilmek
mat etmek,satranç oyununda yenmek
mat,Satranç oyununda taraflardan birinin yenilgisi
mat,"Parlak olmayan, donuk"
matador,Boğa güreşçisi
matafora,Sandalları asmaya yarayan ve gemilerin bordalarında bulunan dikme
matafyon,Yelkenlere ve teknelere açılan delik
matah,"İnsan, mal, eşya vb. için küçümseme yollu bir söz"
matara,"Yolculukta ve askerlikte kullanılan, boyna veya bele asılı olarak taşınan, genellikle aba, deri veya metalden yapılmış su kabı"
matbaa,Basımevi
matbaacı,"Basımcı, basımevi sahibi"
matbaacılık,Basımcılık
matbu,Basılı
matbua,Basma
matbuat,Basın
matem,Yas
matem tutmak,yas tutmak
matematik,"Aritmetik, cebir, geometri gibi sayı ve ölçü temeline dayanarak niceliklerin özelliklerini inceleyen bilimlerin ortak adı, riyaziye"
matematikçi,"Matematikle uğraşan kimse, riyaziyeci, matematisyen"
matematiksel,"Matematik bilimi ile ilgili olan, riyazi"
matem ayı,Muharrem
matem havası,Bir yerde herhangi bir sebeple ortaya çıkan üzüntülü durum
matemli,Yaslı
materyal,Gereç
materyalist,Maddeci
materyalizm,Maddecilik
matine,Gündüz gösterimi
matiz,İki halatı ek yeri kalınlaşmayacak biçimde birbirine ekleme işi
matiz,Çok sarhoş
matiz olmak,sarhoşluktan sızacak duruma gelmek
matizlik,Sarhoşluk
matkap,"Tahta, maden, beton vb. sert maddeler üzerinde delik açmaya yarayan alet, delik açma aleti, delgi"
matla,Gök cisimlerinin doğması
matlaşma,Matlaşmak işi
matlaşmak,Mat duruma gelmek
matlaştırma,Matlaştırmak işi
matlaştırmak,Mat duruma getirmek
matlık,Mat olma durumu
matlup,"İstenilen, aranılan"
matmazel,Evlenmemiş Hristiyan kızlar için `bayan` sözü yerine kullanılan bir unvan
matrah,Bir verginin miktarını belirtmek için temel olarak alınan değer
matrak,"Savaşmayı öğretmek için kullanılan, ucu giderek yuvarlaklaşan kalın sopa, değnek"
matrak geçmek,"alay etmek, eğlenmek"
matrağa almak,"alaya almak, eğlenmek"
matrakçı,Osmanlı ordusunda acemilere matrakla savaşmayı öğreten usta
matriarkal,Anaerkil
matriks,"İçinde birçok biyolojik olayın meydana geldiği, akıcılığı az, cansız bir sıvı ortam"
matris,"Matbaacılıkta kullanılan, girintili çıkıntılı metal veya mukavva kalıp, baskı kalıbı"
matris kâğıdı,Basılacak formanın kalıbını almada kullanılan yumuşak karton
matruş,Tıraşlı
matruşluk,"Sakalsız, bıyıksız olma durumu"
matrut,"Kovulmuş, çıkarılmış"
matuf olmak,bir şeye yöneltilmek
matuf,Bir yöne eğilmiş
matuh,"Bunamış, bunak"
maun,"Tespih ağacıgillerden, Hindistan ve Honduras'ta yetişen büyük bir orman ağacı, akaju (Swietenia mahagoni)"
maval okumak,"yalan söylemek, yalan söyleyerek oyalamak, masal okumak"
maval,"Yalan, uydurma söz"
mavera,Öte
mavi,"Yeşil ile menekşe rengi arasında bir renk, bulutsuz gökyüzünün rengi, mai"
mavi boncuk,Nazar değmesin veya göze gelinmesin inancıyla takılan mavi renkli boncuk
mavi boncuk dağıtmak,birçok kişiye birden sevgi göstermek
mavihastalık,Kalbi ikiye ayıran bölmenin bozulması sonucu temiz ve kirli kanın birbirine karışmasıyla ortaya çıkan hastalık
mavikantaron,"Birleşikgillerden, baharda buğday tarlalarında mor renkli çiçekler açan bir bitki, belemir, peygamber çiçeği, acımık (Centaurea cyanus)"
maviküf,Özellikle tütün fidelerinde üreyerek yaprak hastalığına yol açan asalak mantar
mavileşme,Mavileşmek işi
mavileşmek,Mavi duruma gelmek
mavili,Üzerinde mavi renk olan
mavilik,Mavi renkte olma durumu
mavimtırak,Mavimsi
maviş,"Ak tenli, mavi gözlü olan (kimse)"
maviş maviş bakmak,mavi gözlerle bakmak
mavna,"Gemilere ve yakın kıyılara yük taşıyan, güvertesiz büyük tekne"
mavnacı,Mavna işleten kimse
mavruka,"Kurşundan dökülmüş uzun ve yuvarlak, iki ucu delikli, mazgallanıp cıvayla parlatılmış veya sarı madenden döküm yapılıp nikelajlanmış, 80-130 gr ağırlığında bir av aleti"
mavzer,Atış hızı dakikada ortalama altı mermi olan ve orduda kullanılan bir tüfek tipi
maya çalmak,mayalanmayı sağlamak
mayasında olmak,içinde olmak
maya,"Bazı besinlerin yapımında mayalanmayı sağlamak için kullanılan madde, ferment"
maya,Damızlık dişi hayvan
maya,Uzun havalardan bir tür halk türküsü
maya ağacı,Meyvelerinden yemek yağı çıkarılan bir tür hurma ağacı (Elaels)
mayabozan,"Bir mayanın etkisine karşı koyan, protein yapısında madde"
mayalama,Mayalamak işi
mayalamak,"Maya koymak, içine maya karıştırmak"
mayalandırma,Mayalandırmak işi
mayalandırmak,Mayalanmasını sağlamak
mayalanma,Sıvı veya hamur durumda bulunan organik maddelerin kendiliğinden kabarıp köpürerek gaz çıkarması olayı
mayalanmak,Mayanın etkisiyle ekşiyip kabarmak
mayalı,İçine maya karıştırılmış
mayalık,"Maya olarak kullanılmak için ayrılmış, maya olmaya yarar"
mayası bozuk,"Kötü yaradılışlı, karaktersiz (kimse)"
mayasıl,"Tende kızartı, kaşınma, sulanma, kabuk bağlama vb. doku bozukluklarıyla kendini gösteren ve bulaşıcı olmayan bir deri hastalığı, egzama"
mayasıl otu,"Bir deri hastalığına karşı kullanılan, pek çok çeşidi bulunan bitki türleri, altın otu"
mayasız,İçinde maya bulunmayan
mayasız yoğurt tutmaz,`çok para kazanabilmek için az da olsa elde bir sermaye olması gerekir` anlamında kullanılan bir söz
maydanoz,"Maydanozgillerden, yenmek için yetiştirilen, 50-80 santimetre uzunluğunda, ufak yeşil ve parçalı yapraklı, hoş kokulu iki yıllık otsu bir bitki (Petroselinum crispum)"
maydanoz olmak,olur olmaz her işe karışmak
maydanozgiller,"Ayrı çanak yapraklı iki çeneklilerden, çiçekleri şemsiye biçiminde olan, anason, kereviz, maydanoz, kimyon vb. bitkileri içine alan bir familya"
mayhoş,Tadı şekerli ve az ekşi olan
mayhoşluk,Mayhoş olma durumu
mayın,"Toprak altına, üstüne veya suyun içine yerleştirilen, doğrudan doğruya çarpma veya basınç etkisiyle patlayarak zarara yol açan patlayıcı madde"
mayın dökmek (veya döşemek),"denize mayın bırakmak, denizi mayınlamak"
mayın taramak,denizde ve karada bulunan mayınların yerini belirlemek ve kullanılmaz duruma getirmek
mayıncı,Mayın dökmeye yardım eden veya mayın döşeyen kimse
mayın gemisi,Denize mayın dökmek için özel olarak yapılmış gemi
mayınlama,Mayınlamak işi
mayınlamak,Bir yere mayın dökmek veya döşemek
mayınlanma,Mayınlanmak işi
mayınlanmak,Mayınlama işi yapılmak
mayın tarlası,Mayın vb. patlayıcı maddelerin döşendiği veya çokça bulunduğu yer
mayıs,Yılın beşinci ayı
mayıs,Taze sığır dışkısı
mayıs böceği,"Kın kanatlılardan, uzunluğu 20-25 milimetre olan, kızıl kahverengi görünüşlü, gelişmesi üç beş yıl süren, bitkilere zararlı bir böcek (Melolontha vulgaris)"
mayıs böcekleri,Otçul özellikleri dolayısıyla bitki sağlığı yönünden önem taşıyan böcekler topluluğu
mayıslı,Bolca taze sığır dışkısı karıştırılmış (toprak)
mayışma,Mayışmak işi
mayışmak,"Çok yemekten, sıcaktan veya zevkten gevşemek"
mayi,Sıvı
mayistra,Grandi direğinin en alt sereni ve bu serene çekilen yelken
maymun,"Dört ayaklı, iki ayağı üzerinde de yürüyebilen, ormanda toplu olarak yaşayan, kuyruklu hayvan, primat"
maymun gibi,"tuhaf, gülünç hareketler yapan"
maymun gözünü açtı,geçen bir olaydan ders alındığını anlatan bir söz
maymuna dönmek,çirkin ve gülünç duruma girmek
maymuna benzetmek (veya çevirmek veya döndürmek),gülünç ve çirkin duruma sokmak
maymun balığı,Yuvarlak başlı bir cins köpek balığı (Squatina vulgaris)
maymuncuk,Küçük maymun
maymun iştahlı,"Hevesi çabuk geçen, kararsız"
maymunlar,"Omurgalı hayvanlardan, memeliler sınıfının eteneliler alt sınıfına giren bir takım, primatlar"
maymunlaşma,Maymunlaşmak işi
maymunlaşmak,"Maymuna benzemek, maymun gibi davranmak"
maymunluk,Güldürmek veya dikkati çekmek için yapılan tuhaflık
maymunsu,"Maymun gibi, maymuna benzer, maymun gibi, maymunumsu"
mayna etmek,herhangi bir şeyi halat ve palanga aracılığıyla denize veya yere indirmek
mayna,"Yelken indirme, fora karşıtı"
mayo,"Deniz, göl, havuz vb. yerlere girerken veya güneşlenirken giyilen, tek parçadan oluşan giyisi"
mayocu,Mayo diken veya satan kimse
mayoculuk,Mayo dikme veya satma işi
mayonez,"Yumurta sarısı, zeytinyağı ve limonla yapılan bir tür koyu, soğuk yiyecek"
mayonezli,Mayonez katılmış veya karıştırılmış
mayşor,Alman gümüşü
maytap,"Yandığında renkli ve parlak ışıklar saçan, şenlik gecelerinde yakılan havai fişek"
maytap geçmek,biriyle alay etmek
maytaba almak,"biriyle alay etmek, eğlenmek"
